unet,radial_lines,reconstruction,epochs,folder,psnr,ssim,lpips,metrics,metrics_std,model_path
Unet,80,L2,99.0,result_images/Unet_80lines_L2_L1_TV_99epochs,42.08,0.981,0.104,42.08 / 0.981 / 0.104,42.08(3.46) / 0.981(0.009) / 0.104(0.066),MRIrec_experiments/Unet_80lines_L2/Unet_80lines_L2_epoch99_constantLR_0.001.pth
Unet,80,L1,97.0,result_images/Unet_80lines_L1_TV_97epochs,42.54,0.984,0.101,42.54 / 0.984 / 0.101,42.54(3.77) / 0.984(0.008) / 0.101(0.064),MRIrec_experiments/Unet_80lines_L1/Unet_80lines_L1_epoch97_constantLR_0.001.pth
Unet,80,TV,96.0,result_images/Unet_80lines_TV_96epochs,42.15,0.984,0.112,42.15 / 0.984 / 0.112,42.15(3.56) / 0.984(0.008) / 0.112(0.069),MRIrec_experiments/Unet_80lines_TV/Unet_80lines_TV_epoch96_constantLR_0.001.pth
Unet,80,L2_L1,99.0,result_images/Unet_80lines_L2_L1_TV_99epochs,42.08,0.981,0.104,42.08 / 0.981 / 0.104,42.08(3.46) / 0.981(0.009) / 0.104(0.066),MRIrec_experiments/Unet_80lines_L2_L1/Unet_80lines_L2_L1_epoch99_constantLR_0.001.pth
Unet,80,L2_TV,94.0,result_images/Unet_80lines_L2_TV_94epochs,42.44,0.985,0.105,42.44 / 0.985 / 0.105,42.44(3.66) / 0.985(0.007) / 0.105(0.065),MRIrec_experiments/Unet_80lines_L2_TV/Unet_80lines_L2_TV_epoch94_constantLR_0.001.pth
Unet,80,L1_TV,97.0,result_images/Unet_80lines_L1_TV_97epochs,42.54,0.984,0.101,42.54 / 0.984 / 0.101,42.54(3.77) / 0.984(0.008) / 0.101(0.064),MRIrec_experiments/Unet_80lines_L1_TV/Unet_80lines_L1_TV_epoch97_constantLR_0.001.pth
Unet,80,L2_L1_TV,99.0,result_images/Unet_80lines_L2_L1_TV_99epochs,42.08,0.981,0.104,42.08 / 0.981 / 0.104,42.08(3.46) / 0.981(0.009) / 0.104(0.066),MRIrec_experiments/Unet_80lines_L2_L1_TV/Unet_80lines_L2_L1_TV_epoch99_constantLR_0.001.pth
ResnetUnet,80,L2,100.0,result_images/ResnetUnet_80lines_L2_L1_TV_100epochs,43.3,0.991,0.096,43.30 / 0.991 / 0.096,43.30(4.08) / 0.991(0.006) / 0.096(0.062),MRIrec_experiments/ResnetUnet_80lines_L2/ResnetUnet_80lines_L2_epoch100_constantLR_0.001.pth
ResnetUnet,80,L1,98.0,result_images/ResnetUnet_80lines_L1_TV_98epochs,43.15,0.99,0.102,43.15 / 0.990 / 0.102,43.15(4.11) / 0.990(0.006) / 0.102(0.065),MRIrec_experiments/ResnetUnet_80lines_L1/ResnetUnet_80lines_L1_epoch98_constantLR_0.001.pth
ResnetUnet,80,TV,93.0,result_images/ResnetUnet_80lines_TV_93epochs,42.63,0.989,0.111,42.63 / 0.989 / 0.111,42.63(3.93) / 0.989(0.007) / 0.111(0.068),MRIrec_experiments/ResnetUnet_80lines_TV/ResnetUnet_80lines_TV_epoch93_constantLR_0.001.pth
ResnetUnet,80,L2_L1,100.0,result_images/ResnetUnet_80lines_L2_L1_TV_100epochs,43.3,0.991,0.096,43.30 / 0.991 / 0.096,43.30(4.08) / 0.991(0.006) / 0.096(0.062),MRIrec_experiments/ResnetUnet_80lines_L2_L1/ResnetUnet_80lines_L2_L1_epoch100_constantLR_0.001.pth
ResnetUnet,80,L2_TV,98.0,result_images/ResnetUnet_80lines_L2_TV_98epochs,43.0,0.99,0.1,43.00 / 0.990 / 0.100,43.00(3.95) / 0.990(0.006) / 0.100(0.063),MRIrec_experiments/ResnetUnet_80lines_L2_TV/ResnetUnet_80lines_L2_TV_epoch98_constantLR_0.001.pth
ResnetUnet,80,L1_TV,98.0,result_images/ResnetUnet_80lines_L1_TV_98epochs,43.15,0.99,0.102,43.15 / 0.990 / 0.102,43.15(4.11) / 0.990(0.006) / 0.102(0.065),MRIrec_experiments/ResnetUnet_80lines_L1_TV/ResnetUnet_80lines_L1_TV_epoch98_constantLR_0.001.pth
