unet,radial_lines,reconstruction,epochs,folder,psnr,ssim,lpips,metrics,metrics_std,model_path
ConvUNeXt,20,L2,98.0,result_images/ConvUNeXt_20lines_L2_L1_98epochs,33.55,0.944,0.223,33.55 / 0.944 / 0.223,33.55(3.34) / 0.944(0.025) / 0.223(0.089),MRIrec_experiments/ConvUNeXt_20lines_L2/ConvUNeXt_20lines_L2_epoch98_constantLR_0.001.pth
ConvUNeXt,20,L1,97.0,result_images/ConvUNeXt_20lines_L1_TV_97epochs,33.95,0.937,0.221,33.95 / 0.937 / 0.221,33.95(3.39) / 0.937(0.029) / 0.221(0.087),MRIrec_experiments/ConvUNeXt_20lines_L1/ConvUNeXt_20lines_L1_epoch97_constantLR_0.001.pth
ConvUNeXt,20,TV,100.0,result_images/ConvUNeXt_20lines_TV_100epochs,33.83,0.941,0.227,33.83 / 0.941 / 0.227,33.83(3.36) / 0.941(0.023) / 0.227(0.086),MRIrec_experiments/ConvUNeXt_20lines_TV/ConvUNeXt_20lines_TV_epoch100_constantLR_0.001.pth
ConvUNeXt,20,L2_L1,98.0,result_images/ConvUNeXt_20lines_L2_L1_98epochs,33.55,0.944,0.223,33.55 / 0.944 / 0.223,33.55(3.34) / 0.944(0.025) / 0.223(0.089),MRIrec_experiments/ConvUNeXt_20lines_L2_L1/ConvUNeXt_20lines_L2_L1_epoch98_constantLR_0.001.pth
ConvUNeXt,20,L2_TV,91.0,result_images/ConvUNeXt_20lines_L2_TV_91epochs,33.88,0.942,0.223,33.88 / 0.942 / 0.223,33.88(3.37) / 0.942(0.023) / 0.223(0.084),MRIrec_experiments/ConvUNeXt_20lines_L2_TV/ConvUNeXt_20lines_L2_TV_epoch91_constantLR_0.001.pth
ConvUNeXt,20,L1_TV,97.0,result_images/ConvUNeXt_20lines_L1_TV_97epochs,33.95,0.937,0.221,33.95 / 0.937 / 0.221,33.95(3.39) / 0.937(0.029) / 0.221(0.087),MRIrec_experiments/ConvUNeXt_20lines_L1_TV/ConvUNeXt_20lines_L1_TV_epoch97_constantLR_0.001.pth
ConvUNeXt,20,L2_L1_TV,76.0,result_images/ConvUNeXt_20lines_L2_L1_TV_76epochs,34.15,0.944,0.217,34.15 / 0.944 / 0.217,34.15(3.36) / 0.944(0.023) / 0.217(0.087),MRIrec_experiments/ConvUNeXt_20lines_L2_L1_TV/ConvUNeXt_20lines_L2_L1_TV_epoch76_constantLR_0.001.pth
ConvUNeXt,40,L2,89.0,result_images/ConvUNeXt_40lines_L2_TV_89epochs,36.67,0.967,0.19,36.67 / 0.967 / 0.190,36.67(3.34) / 0.967(0.016) / 0.190(0.081),MRIrec_experiments/ConvUNeXt_40lines_L2/ConvUNeXt_40lines_L2_epoch89_constantLR_0.001.pth
ConvUNeXt,40,L1,70.0,result_images/ConvUNeXt_40lines_L1_TV_70epochs,36.86,0.969,0.183,36.86 / 0.969 / 0.183,36.86(3.50) / 0.969(0.016) / 0.183(0.081),MRIrec_experiments/ConvUNeXt_40lines_L1/ConvUNeXt_40lines_L1_epoch70_constantLR_0.001.pth
ConvUNeXt,40,TV,81.0,result_images/ConvUNeXt_40lines_TV_81epochs,36.48,0.962,0.197,36.48 / 0.962 / 0.197,36.48(3.38) / 0.962(0.018) / 0.197(0.084),MRIrec_experiments/ConvUNeXt_40lines_TV/ConvUNeXt_40lines_TV_epoch81_constantLR_0.001.pth
ConvUNeXt,40,L2_L1,92.0,result_images/ConvUNeXt_40lines_L2_L1_TV_92epochs,37.07,0.969,0.179,37.07 / 0.969 / 0.179,37.07(3.40) / 0.969(0.014) / 0.179(0.082),MRIrec_experiments/ConvUNeXt_40lines_L2_L1/ConvUNeXt_40lines_L2_L1_epoch92_constantLR_0.001.pth
