unet,radial_lines,reconstruction,epochs,folder,psnr,ssim,lpips,metrics,metrics_std,model_path
ResnetUnet,20,L2,97.0,result_images/ResnetUnet_20lines_L2_TV_97epochs,33.54,0.943,0.233,33.54 / 0.943 / 0.233,33.54(3.51) / 0.943(0.027) / 0.233(0.083),MRIrec_experiments/ResnetUnet_20lines_L2/ResnetUnet_20lines_L2_epoch97_constantLR_0.001.pth
ResnetUnet,20,L1,100.0,result_images/ResnetUnet_20lines_L1_TV_100epochs,33.26,0.938,0.248,33.26 / 0.938 / 0.248,33.26(3.53) / 0.938(0.029) / 0.248(0.086),MRIrec_experiments/ResnetUnet_20lines_L1/ResnetUnet_20lines_L1_epoch100_constantLR_0.001.pth
ResnetUnet,20,TV,100.0,result_images/ResnetUnet_20lines_TV_100epochs,32.64,0.929,0.273,32.64 / 0.929 / 0.273,32.64(3.53) / 0.929(0.032) / 0.273(0.086),MRIrec_experiments/ResnetUnet_20lines_TV/ResnetUnet_20lines_TV_epoch100_constantLR_0.001.pth
ResnetUnet,20,L2_L1,99.0,result_images/ResnetUnet_20lines_L2_L1_99epochs,33.03,0.939,0.243,33.03 / 0.939 / 0.243,33.03(3.50) / 0.939(0.030) / 0.243(0.089),MRIrec_experiments/ResnetUnet_20lines_L2_L1/ResnetUnet_20lines_L2_L1_epoch99_constantLR_0.001.pth
ResnetUnet,20,L2_TV,97.0,result_images/ResnetUnet_20lines_L2_TV_97epochs,33.54,0.943,0.233,33.54 / 0.943 / 0.233,33.54(3.51) / 0.943(0.027) / 0.233(0.083),MRIrec_experiments/ResnetUnet_20lines_L2_TV/ResnetUnet_20lines_L2_TV_epoch97_constantLR_0.001.pth
ResnetUnet,20,L1_TV,100.0,result_images/ResnetUnet_20lines_L1_TV_100epochs,33.26,0.938,0.248,33.26 / 0.938 / 0.248,33.26(3.53) / 0.938(0.029) / 0.248(0.086),MRIrec_experiments/ResnetUnet_20lines_L1_TV/ResnetUnet_20lines_L1_TV_epoch100_constantLR_0.001.pth
ResnetUnet,20,L2_L1_TV,97.0,result_images/ResnetUnet_20lines_L2_L1_TV_97epochs,33.61,0.944,0.237,33.61 / 0.944 / 0.237,33.61(3.53) / 0.944(0.027) / 0.237(0.088),MRIrec_experiments/ResnetUnet_20lines_L2_L1_TV/ResnetUnet_20lines_L2_L1_TV_epoch97_constantLR_0.001.pth
ResnetUnet,40,L2,100.0,result_images/ResnetUnet_40lines_L2_100epochs,33.98,0.948,0.218,33.98 / 0.948 / 0.218,33.98(3.42) / 0.948(0.023) / 0.218(0.082),MRIrec_experiments/ResnetUnet_40lines_L2/ResnetUnet_40lines_L2_epoch100_constantLR_0.001.pth
ResnetUnet,40,L1,100.0,result_images/ResnetUnet_40lines_L1_100epochs,35.97,0.964,0.197,35.97 / 0.964 / 0.197,35.97(3.46) / 0.964(0.019) / 0.197(0.086),MRIrec_experiments/ResnetUnet_40lines_L1/ResnetUnet_40lines_L1_epoch100_constantLR_0.001.pth
ResnetUnet,40,TV,100.0,result_images/ResnetUnet_40lines_TV_100epochs,36.69,0.969,0.187,36.69 / 0.969 / 0.187,36.69(3.41) / 0.969(0.015) / 0.187(0.083),MRIrec_experiments/ResnetUnet_40lines_TV/ResnetUnet_40lines_TV_epoch100_constantLR_0.001.pth
ResnetUnet,40,L2_L1,100.0,result_images/ResnetUnet_40lines_L2_L1_100epochs,35.91,0.963,0.199,35.91 / 0.963 / 0.199,35.91(3.50) / 0.963(0.020) / 0.199(0.085),MRIrec_experiments/ResnetUnet_40lines_L2_L1/ResnetUnet_40lines_L2_L1_epoch100_constantLR_0.001.pth
ResnetUnet,40,L2_TV,100.0,result_images/ResnetUnet_40lines_L2_TV_100epochs,36.58,0.967,0.19,36.58 / 0.967 / 0.190,36.58(3.46) / 0.967(0.016) / 0.190(0.080),MRIrec_experiments/ResnetUnet_40lines_L2_TV/ResnetUnet_40lines_L2_TV_epoch100_constantLR_0.001.pth
ResnetUnet,40,L1_TV,100.0,result_images/ResnetUnet_40lines_L1_TV_100epochs,36.72,0.969,0.19,36.72 / 0.969 / 0.190,36.72(3.51) / 0.969(0.016) / 0.190(0.084),MRIrec_experiments/ResnetUnet_40lines_L1_TV/ResnetUnet_40lines_L1_TV_epoch100_constantLR_0.001.pth
ResnetUnet,40,L2_L1_TV,99.0,result_images/ResnetUnet_40lines_L2_L1_TV_99epochs,37.04,0.971,0.179,37.04 / 0.971 / 0.179,37.04(3.46) / 0.971(0.015) / 0.179(0.081),MRIrec_experiments/ResnetUnet_40lines_L2_L1_TV/ResnetUnet_40lines_L2_L1_TV_epoch99_constantLR_0.001.pth
ResnetUnet,60,L2,96.0,result_images/ResnetUnet_60lines_L2_96epochs,36.7,0.968,0.18,36.70 / 0.968 / 0.180,36.70(3.36) / 0.968(0.014) / 0.180(0.078),MRIrec_experiments/ResnetUnet_60lines_L2/ResnetUnet_60lines_L2_epoch96_constantLR_0.001.pth
ResnetUnet,60,L1,98.0,result_images/ResnetUnet_60lines_L1_TV_98epochs,40.53,0.985,0.129,40.53 / 0.985 / 0.129,40.53(3.69) / 0.985(0.009) / 0.129(0.072),MRIrec_experiments/ResnetUnet_60lines_L1/ResnetUnet_60lines_L1_epoch98_constantLR_0.001.pth
ResnetUnet,60,TV,67.0,result_images/ResnetUnet_60lines_TV_67epochs,40.19,0.983,0.138,40.19 / 0.983 / 0.138,40.19(3.61) / 0.983(0.009) / 0.138(0.075),MRIrec_experiments/ResnetUnet_60lines_TV/ResnetUnet_60lines_TV_epoch67_constantLR_0.001.pth
ResnetUnet,60,L2_L1,100.0,result_images/ResnetUnet_60lines_L2_L1_TV_100epochs,40.67,0.985,0.124,40.67 / 0.985 / 0.124,40.67(3.67) / 0.985(0.009) / 0.124(0.071),MRIrec_experiments/ResnetUnet_60lines_L2_L1/ResnetUnet_60lines_L2_L1_epoch100_constantLR_0.001.pth
ResnetUnet,60,L2_TV,99.0,result_images/ResnetUnet_60lines_L2_TV_99epochs,40.3,0.984,0.135,40.30 / 0.984 / 0.135,40.30(3.62) / 0.984(0.009) / 0.135(0.073),MRIrec_experiments/ResnetUnet_60lines_L2_TV/ResnetUnet_60lines_L2_TV_epoch99_constantLR_0.001.pth
ResnetUnet,60,L1_TV,98.0,result_images/ResnetUnet_60lines_L1_TV_98epochs,40.53,0.985,0.129,40.53 / 0.985 / 0.129,40.53(3.69) / 0.985(0.009) / 0.129(0.072),MRIrec_experiments/ResnetUnet_60lines_L1_TV/ResnetUnet_60lines_L1_TV_epoch98_constantLR_0.001.pth
ResnetUnet,60,L2_L1_TV,100.0,result_images/ResnetUnet_60lines_L2_L1_TV_100epochs,40.67,0.985,0.124,40.67 / 0.985 / 0.124,40.67(3.67) / 0.985(0.009) / 0.124(0.071),MRIrec_experiments/ResnetUnet_60lines_L2_L1_TV/ResnetUnet_60lines_L2_L1_TV_epoch100_constantLR_0.001.pth
ResnetUnet,80,L2,100.0,result_images/ResnetUnet_80lines_L2_L1_TV_100epochs,43.3,0.991,0.096,43.30 / 0.991 / 0.096,43.30(4.08) / 0.991(0.006) / 0.096(0.062),MRIrec_experiments/ResnetUnet_80lines_L2/ResnetUnet_80lines_L2_epoch100_constantLR_0.001.pth
ResnetUnet,80,L1,98.0,result_images/ResnetUnet_80lines_L1_TV_98epochs,43.15,0.99,0.102,43.15 / 0.990 / 0.102,43.15(4.11) / 0.990(0.006) / 0.102(0.065),MRIrec_experiments/ResnetUnet_80lines_L1/ResnetUnet_80lines_L1_epoch98_constantLR_0.001.pth
ResnetUnet,80,TV,93.0,result_images/ResnetUnet_80lines_TV_93epochs,42.63,0.989,0.111,42.63 / 0.989 / 0.111,42.63(3.93) / 0.989(0.007) / 0.111(0.068),MRIrec_experiments/ResnetUnet_80lines_TV/ResnetUnet_80lines_TV_epoch93_constantLR_0.001.pth
